#Time (s),Channel 1 (V),Channel 2 (V)
0.11975,2.524476702332883,2.55660945950293
0.12,2.524142749475664,2.556943997193984
0.12025,2.524476702332883,2.557613072576093
0.1205,2.524476702332883,2.557947610267148
0.12075,2.523808796618443,2.558282147958203
0.121,2.523474843761224,2.558282147958203
0.12125,2.523140890904004,2.558616685649257
0.1215,2.522806938046784,2.558616685649257
0.12175,2.522472985189564,2.558951223340312
0.122,2.522139032332344,2.559285761031366
0.12225,2.521805079475124,2.559285761031366
0.1225,2.521137173760684,2.559285761031366
0.12275,2.521137173760684,2.559285761031366
0.123,2.520469268046244,2.559620298722421
0.12325,2.520135315189024,2.559285761031366
0.1235,2.519467409474585,2.559620298722421
0.12375,2.519133456617364,2.559285761031366
0.124,2.518465550902925,2.559285761031366
0.12425,2.518131598045705,2.559285761031366
0.1245,2.517797645188485,2.559285761031366
0.12475,2.517463692331265,2.559620298722421
0.125,2.517129739474045,2.559285761031366
0.12525,2.516795786616825,2.559620298722421
0.1255,2.516795786616825,2.559954836413476
0.12575,2.516461833759605,2.559954836413476
0.126,2.516127880902385,2.559954836413476
0.12625,2.516127880902385,2.56028937410453
0.1265,2.515793928045165,2.56028937410453
0.12675,2.515126022330725,2.559954836413476
0.127,2.514792069473506,2.56028937410453
0.12725,2.514458116616285,2.56028937410453
0.1275,2.514124163759066,2.559954836413476
0.12775,2.513790210901846,2.559620298722421
0.128,2.513456258044626,2.559954836413476
0.12825,2.513122305187406,2.559620298722421
0.1285,2.512788352330186,2.559620298722421
0.12875,2.512454399472966,2.559620298722421
0.129,2.511786493758526,2.559285761031366
0.12925,2.511786493758526,2.559285761031366
0.1295,2.511118588044086,2.558951223340312
0.12975,2.511118588044086,2.558951223340312
0.13,2.510784635186866,2.558951223340312
0.13025,2.510450682329646,2.558951223340312
0.1305,2.510450682329646,2.558951223340312
0.13075,2.510450682329646,2.558951223340312
0.131,2.510116729472426,2.558616685649257
0.13125,2.509782776615206,2.558616685649257
0.1315,2.509448823757987,2.558616685649257
0.13175,2.509448823757987,2.558616685649257
0.132,2.509448823757987,2.558616685649257
0.13225,2.509114870900766,2.558282147958203
0.1325,2.508780918043547,2.557947610267148
0.13275,2.508446965186327,2.557613072576093
0.133,2.508113012329107,2.557613072576093
0.13325,2.507779059471887,2.557278534885039
0.1335,2.507445106614667,2.556943997193984
0.13375,2.507111153757447,2.55660945950293
0.134,2.506777200900227,2.556274921811875
0.13425,2.506443248043007,2.555940384120821
0.1345,2.506443248043007,2.555940384120821
0.13475,2.506109295185787,2.555605846429766
0.135,2.505775342328567,2.555271308738711
0.13525,2.505441389471347,2.554936771047657
0.1355,2.505441389471347,2.554602233356602
0.13575,2.505107436614127,2.554267695665548
0.136,2.504773483756908,2.554267695665548
0.13625,2.504773483756908,2.553933157974493
0.1365,2.504439530899687,2.553598620283438
0.13675,2.504439530899687,2.553598620283438
0.137,2.504105578042468,2.553264082592384
0.13725,2.504105578042468,2.552929544901329
0.1375,2.504439530899687,2.552929544901329
0.13775,2.504439530899687,2.552929544901329
0.138,2.504105578042468,2.552595007210275
0.13825,2.504105578042468,2.55226046951922
0.1385,2.504105578042468,2.55226046951922
0.13875,2.504105578042468,2.551925931828166
0.139,2.504105578042468,2.551925931828166
0.13925,2.504105578042468,2.551925931828166
0.1395,2.504439530899687,2.551591394137111
0.13975,2.504105578042468,2.551256856446056
0.14,2.504439530899687,2.551591394137111
0.14025,2.504773483756908,2.551256856446056
0.1405,2.504439530899687,2.550922318755002
0.14075,2.504439530899687,2.550922318755002
0.141,2.504439530899687,2.550587781063947
0.14125,2.503771625185248,2.549918705681838
0.1415,2.503771625185248,2.549584167990783
0.14175,2.503437672328028,2.549249630299729
0.142,2.503437672328028,2.548915092608674
0.14225,2.503437672328028,2.54858055491762
0.1425,2.503437672328028,2.548246017226565
0.14275,2.503103719470808,2.54791147953551
0.143,2.503437672328028,2.547576941844456
0.14325,2.503103719470808,2.547242404153401
0.1435,2.502769766613588,2.546907866462347
0.14375,2.502769766613588,2.546238791080238
0.144,2.502435813756368,2.545904253389183
0.14425,2.502435813756368,2.545569715698128
0.1445,2.502435813756368,2.545235178007074
0.14475,2.502435813756368,2.544900640316019
0.145,2.502435813756368,2.544566102624965
0.14525,2.502435813756368,2.54423156493391
0.1455,2.502769766613588,2.54423156493391
0.14575,2.502769766613588,2.54423156493391
0.146,2.503103719470808,2.543897027242855
0.14625,2.503103719470808,2.543897027242855
0.1465,2.503103719470808,2.543562489551801
0.14675,2.503103719470808,2.543227951860746
0.147,2.503103719470808,2.542558876478637
